dataid,active_record,building_type,city,state,egauge_1min_min_time,egauge_1min_max_time,egauge_1min_data_availability,,egauge_1s_max_time,egauge_1s_data_availability,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1,wellpump1,water_ert_min_time,water_ert_max_time,water_data_availability,gas_ert_min_time,gas_ert_max_time,gas_data_availability,indoor_temp_min_time,indoor_temp_max_time,indoor_temp_data_availability,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,pv,pv_panel_direction,total_amount_of_pv,amount_of_south_facing_pv,amount_of_west_facing_pv,amount_of_east_facing_pv,number_of_nests,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,survey_2017,survey_2019,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,program_shines
2836,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/1/2011,3/19/2011,1994,2796,1476,1320,0,,,,,,,,,,,,,,yes,,,,,,yes,,,,,
2743,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/1/2011,9/1/2011,1949,1590,1590,0,0,,,,,,,,,,,,yes,,,,,,,,yes,,,,,
5323,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/1/2011,11/29/2011,2008,1185,602,583,0,,,,,,,,,,yes,,,,,,,,,yes,yes,,,,,
8560,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/1/2011,2/1/2012,2009,2001,1435,566,0,,,,,,,,,,yes,,yes,,,,,,,yes,yes,,,,,
3313,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/1/2011,4/30/2012,2007,2001,1435,566,0,,,,,,,,,,yes,,yes,,,,,,,yes,yes,,,,,
5052,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/1/2011,8/30/2012,2008,1185,602,583,0,,,,,,,,,,yes,,yes,,,,,,,yes,yes,,,,,
3936,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/1/2011,8/31/2012,2007,2134,1162,972,0,,,,,,,,,,yes,,yes,,,,,,,yes,yes,,,,,
1622,,Town Home,Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/1/2011,10/1/2012,2008,1576,778,798,0,,,,,,,,,,yes,,yes,,,,,,,yes,yes,,,,,
1114,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,2012-04-11 18:59:06-05:00,2013-01-06 17:58:33-06:00,100%,,,,2/1/2011,1/7/2013,2007,2122,1162,960,0,,,yes,South,5.25,5.25,0,,,yes,,yes,,yes,,,,,yes,yes,,,,,
5433,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-04-12 13:12:24-05:00,2013-04-01 18:38:24-05:00,73%,,,,2/1/2011,4/2/2013,2007,1422,1422,0,0,,,yes,,,,,,,yes,,yes,yes,,,,,,yes,yes,,,CCET - Control,,
1101,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/1/2011,4/27/2013,2008,2649,1639,1010,0,,,yes,South;West,6.25,3,3.25,,,yes,,yes,,,,,,,yes,yes,,,,,
8872,,Single-Family Home 001 (Master),Austin,Texas,2012-05-02 01:00:00-05:00,2013-06-10 00:59:00-05:00,1.00,,,,yes,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,2/1/2011,6/10/2013,2008,1422,1422,0,0,,,yes,South;West,5.5,,3.25,,,yes,,yes,yes,,,,,,yes,yes,,,CCET - Control,,
1464,,Single-Family Home 001 (Master),Austin,Texas,2012-10-19 19:00:00-05:00,2014-03-05 17:59:00-06:00,1.00,,,,yes,,,,,,,yes,yes,yes,,,,,,,yes,,,,yes,yes,,yes,,,,,,yes,,,,,,,,,yes,,yes,,,,,,,,yes,,,,yes,,,,,,,yes,yes,,yes,,,yes,,yes,,,,,,,,2012-05-01 13:00:00-05:00,2019-10-18 06:49:00-05:00,6%,2012-04-13 09:26:26-05:00,2014-02-06 23:53:33-06:00,75%,,,,2/1/2011,3/6/2014,2007,2345,1385,960,0,,,yes,South;West,3.3,1.65,1.65,,,yes,,yes,yes,,,,,,yes,yes,,,CCET - Control,,
3824,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/1/2011,4/1/2014,2009,2001,1435,566,0,,,yes,South;West,6.37,,3.185,,,yes,,,,,,,,,yes,yes,,,CCET - Text Message,,
78,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-04-11 18:59:58-05:00,2013-05-10 16:29:46-05:00,100%,,,,2/1/2011,4/7/2014,2008,3249,1532,1717,0,,,yes,,,,,,,yes,,,,,,,,,yes,yes,,,,,
8047,,Single-Family Home 001 (Master),Austin,Texas,2013-04-16 00:00:00-05:00,2014-04-06 18:56:00-05:00,0.58,,,,yes,,,,,yes,,,,,,,,,,,yes,,,,yes,yes,,yes,yes,yes,,,,yes,,,,,,,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,,yes,,,,,yes,,,,,yes,,,,,,,,2012-04-11 18:59:52-05:00,2013-05-10 16:26:10-05:00,99%,,,,2/1/2011,4/7/2014,2009,3245,1779,1466,0,,,yes,,,,,,,yes,,yes,,yes,,,,,yes,yes,,,CCET - Pricing Trial,,
